Aktivitetstype,Dato,Favoritt,Tittel,Avstand,Kalorier,Tid,Gjennomsnittlig puls,Makspuls,Aerob treningseffekt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Gjennomsnittlig tempo,Beste tempo,Total stigning,Totalt fall,Gjennomsnittlig skrittlengde,Gjennomsnittlig vertikalt forholdstall,Gjennomsnittlig vertikal oscillasjon,Gjennomsnittlig tid med bakkekontakt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Training Stress Score®,Gjennomsnittlig kraft,Maksimal kraft,Vanskelighetsgrad,Flyt,Totalt antall tak,Gjennomsnittlig Swolf,Gjennomsnittlig tempo for tak,Totalt antall repetisjoner,Totalt antall sett,Dykketid,Minimumstemperatur,Overflateintervall,Dekompresjon,Beste rundetid,Antall runder,Makstemperatur,Tid i bevegelse,Medgått tid,Minste høyde,Maksimal høyde
Løping,2022-08-20 19:41:04,false,"Oslo Løping","17.03","1,181","01:37:39","155","176","3.4","163","241","5:44","4:33","291","289","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Nei","00:09.10.2","18","0.0","01:36:37","01:42:08","36","276"
Styrketrening,2022-08-20 16:37:06,false,"Styrke","0.00","155","00:33:24","94","113","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","5","1","0:00","26.0","0:00","Nei","33:23.74.4","1","0.0","00:33:24","00:33:24","--","--"
Styrketrening,2022-08-19 14:50:23,false,"Styrke","0.00","213","00:50:22","92","125","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","51","5","0:00","26.0","0:00","Nei","50:21.67.4","1","0.0","00:41:56","00:50:22","--","--"
Terrengløp,2022-08-18 17:03:22,false,"Oslo Terrengløp","9.92","668","01:05:59","141","165","2.5","142","186","6:39","4:03","262","260","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Nei","04:45.95.8","10","0.0","01:05:35","01:11:03","159","388"
Løping,2022-08-16 20:00:47,false,"Oslo Løping","12.37","894","01:08:40","152","169","3.2","165","174","5:33","4:54","109","125","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Nei","02:23.84.1","13","0.0","01:08:09","03:53:41","29","111"
Styrketrening,2022-08-16 16:38:06,false,"Strength","0.00","298","01:20:29","86","129","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","3","1","0:00","26.0","0:00","Nei","01:20:28.60.4","1","0.0","01:20:29","01:20:29","--","--"
Styrketrening,2022-08-15 18:23:20,false,"Strength","0.00","233","00:48:26","96","140","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","5","1","0:00","26.0","0:00","Nei","48:25.96.9","1","0.0","00:48:26","00:48:26","--","--"
Løping,2022-08-14 17:21:00,false,"Oslo Løping","5.62","360","00:30:08","157","177","2.8","165","174","5:22","4:45","59","48","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","Nei","03:22.25.9","6","0.0","00:29:55","00:32:01","5","44"
Styrketrening,2022-08-14 16:04:20,false,"Strength","0.00","184","00:49:16","86","111","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","15","1","0:00","27.0","0:00","Nei","49:16.18.6","1","0.0","00:49:16","00:49:16","--","--"
Sykling,2022-08-12 21:00:31,false,"Oslo Sykling","5.60","95","00:13:28","112","132","0.4","0","0","24.9","41.9","9","138","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Nei","01:34.01.7","2","0.0","00:13:23","00:14:54","31","166"
Terrengløp,2022-08-12 18:16:03,false,"Oslo Terrengløp","17.74","1,528","02:28:59","145","168","2.6","126","248","8:24","2:18","532","530","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","04:09.70.3","18","0.0","02:22:22","02:35:42","170","489"
Sykling,2022-08-12 17:48:13,false,"Oslo Sykling","5.48","190","00:19:09","130","170","2.2","0","0","17.2","27.3","142","5","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","Nei","02:13.60.8","2","0.0","00:18:52","00:21:45","34","173"
Løping,2022-08-11 20:51:26,false,"Oslo Course à pied","7.10","486","00:41:54","147","176","2.9","165","171","5:54","5:12","44","52","1.03","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Nei","00:40.26.8","8","0.0","00:41:41","00:42:08","6","51"
Styrketrening,2022-08-11 19:04:33,false,"Styrke","0.00","205","00:48:28","91","125","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","15","1","0:00","26.0","0:00","Nei","48:27.99.9","1","0.0","00:48:28","00:48:28","--","--"
Styrketrening,2022-08-08 17:16:16,false,"Styrke","0.00","285","01:04:41","94","121","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","17","1","0:00","27.0","0:00","Nei","01:04:40.66.8","1","0.0","01:04:41","01:04:41","--","--"
Sykling,2022-08-07 12:51:09,false,"Hurum Cyclisme","62.12","1,379","02:25:55","141","174","2.8","0","0","25.5","54.7","646","668","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Nei","06:37.59.6","13","0.0","02:25:07","02:42:19","17","177"
Sykling,2022-08-05 13:07:44,false,"Oslo Cyclisme","63.00","1,616","02:29:25","149","176","3.2","0","0","25.3","54.2","686","628","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Nei","07:39.58.4","13","0.0","02:28:32","02:57:00","9","176"
Styrketrening,2022-08-04 19:03:18,false,"Styrke","0.00","141","00:36:11","87","123","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","6","1","0:00","25.0","0:00","Nei","36:11.05.8","1","0.0","00:36:11","00:36:11","--","--"
Styrketrening,2022-08-02 16:05:44,false,"Styrke","0.00","327","01:16:48","92","115","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","5","1","0:00","27.0","0:00","Nei","01:16:47.73.8","1","0.0","01:16:48","01:16:48","--","--"
Styrketrening,2022-08-01 16:33:02,false,"Styrke","0.00","248","00:57:02","93","119","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","25.0","0:00","Nei","57:01.95.9","1","0.0","00:57:02","00:57:02","--","--"
Styrketrening,2022-07-31 17:45:45,false,"Styrke","0.00","109","00:27:16","88","120","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","14","1","0:00","25.0","0:00","Nei","27:15.57.7","1","0.0","00:27:16","00:27:16","--","--"
Terrengløp,2022-07-30 10:28:29,false,"Oslo Trail","21.54","1,968","03:32:13","144","166","3.1","115","245","9:51","2:59","864","837","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","04:14.60","22","0.0","03:19:13","03:59:49","254","442"
Styrketrening,2022-07-29 17:14:23,false,"Styrke","0.00","106","00:34:05","81","102","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","26.0","0:00","Nei","34:04.52.5","1","0.0","00:34:05","00:34:05","--","--"
Styrketrening,2022-07-27 21:10:47,false,"Styrke","0.00","142","00:29:27","95","112","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","10","1","0:00","28.0","0:00","Nei","29:26.58.8","1","0.0","00:29:27","00:29:27","--","--"
Sykling,2022-07-26 21:55:21,false,"Oslo Cyclisme","6.33","129","00:14:58","121","155","1.0","0","0","25.4","40.6","21","100","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","03:24.67.9","2","0.0","00:14:54","00:14:58","22","107"
Sykling,2022-07-26 19:49:09,false,"Oslo Cyclisme","1.01","39","00:03:58.5","127","141","0.4","0","0","15.2","21.4","18","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Nei","03:58.47.3","1","0.0","00:03:55","00:04:03.5","97","116"
Løping innendørs,2022-07-26 18:38:07,false,"Course en salle","1.47","789","00:56:15","169","193","4.1","43","248","38:19","2:13","--","--","0.60","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","14:07.42.7","2","0.0","00:12:56","00:58:38","--","--"
Sykling,2022-07-26 17:46:55,false,"Oslo Cyclisme","6.57","208","00:18:57","135","166","2.2","0","0","20.8","33.7","91","22","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Nei","04:38.67.1","2","0.0","00:18:40","00:19:55","34","103"
Løping,2022-07-25 18:48:43,false,"Oslo Course à pied","7.01","520","00:38:55","153","176","3.5","170","216","5:33","5:03","44","49","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","00:01.67.7","8","0.0","00:38:49","00:40:34","80","123"
Styrketrening,2022-07-25 13:37:32,false,"Styrke","0.00","364","00:58:44","108","154","1.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","16","1","0:00","25.0","0:00","Nei","58:44.10.4","1","0.0","00:58:44","00:58:44","--","--"
Sykling,2022-07-24 10:20:19,false,"Oslo Cyclisme","55.64","1,245","02:30:50","135","185","3.0","0","0","22.1","67.0","590","594","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Nei","02:07.53.9","12","0.0","02:29:22","03:15:00","51","284"
Styrketrening,2022-07-23 18:39:46,false,"Styrke","0.00","219","00:39:45","102","138","0.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","13","1","0:00","29.0","0:00","Nei","39:45.05.1","1","0.0","00:39:45","00:39:45","--","--"
Styrketrening,2022-07-22 17:30:47,false,"Styrke","0.00","306","01:00:55","100","135","0.5","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","17","4","0:00","26.0","0:00","Nei","01:00:55.45","1","0.0","00:56:25","01:00:55","--","--"
Løping,2022-07-20 19:54:00,false,"Oslo Løping","14.01","992","01:23:40","155","186","3.3","164","175","5:58","5:13","139","117","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Nei","00:01.60.6","15","0.0","01:23:09","01:33:31","17","87"
Sykling,2022-07-18 16:23:56,false,"Oslo Sykling","5.94","165","00:17:35","125","166","2.1","0","0","20.3","36.8","51","79","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Nei","02:49.47.9","2","0.0","00:17:17","00:18:19","12","81"
Sykling,2022-07-18 15:56:35,false,"Oslo Sykling","5.93","199","00:17:42","138","180","2.6","0","0","20.1","34.3","81","37","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Nei","03:31.50.1","2","0.0","00:17:19","00:19:04","10","83"
Sykling,2022-07-17 12:06:36,false,"Oslo Sykling","24.99","742","01:05:08","142","180","3.3","0","0","23.0","56.5","280","259","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Nei","10:32.28.1","5","0.0","01:04:29","03:40:32","7","165"
